PUMACE10,name,data
03401,Palatine/Barrington,2005-3-01 52.7	2005-6-01 56.9	2005-9-01 60.7	2006-3-01 64.5	2006-6-01 67.6	2006-9-01 69.9	2007-3-01 74.2	2007-6-01 74.2	2007-9-01 74.2	2008-3-01 70.6	2008-6-01 68.6	2008-9-01 65	2009-3-01 59.9	2009-6-01 54.1	2009-9-01 50.6	2010-3-01 46.2	2010-6-01 43.6	2010-9-01 41.3	2011-3-01 37.6	2011-6-01 33.9	2011-9-01 29.7	2012-3-01 24.9	2012-6-01 22	2012-9-01 21.1	2013-3-01 22.8	2013-6-01 26.7	2013-9-01 30.8	2014-3-01 35.4	2014-6-01 38.5	2014-9-01 41
03407,Melrose Park/Maywood,2005-3-01 59.1	2005-6-01 64.5	2005-9-01 69.4	2006-3-01 75.9	2006-6-01 79.5	2006-9-01 82.3	2007-3-01 85.8	2007-6-01 87.2	2007-9-01 85.3	2008-3-01 78.4	2008-6-01 70.8	2008-9-01 62.3	2009-3-01 49.3	2009-6-01 37	2009-9-01 30	2010-3-01 23.6	2010-6-01 24	2010-9-01 21.8	2011-3-01 15.6	2011-6-01 9	2011-9-01 5.5	2012-3-01 2.5	2012-6-01 -0.5	2012-9-01 -1.1	2013-3-01 -1.2	2013-6-01 2	2013-9-01 5.8	2014-3-01 11.2	2014-6-01 14.6	2014-9-01 17.4
03408,Oak Park/Cicero,2005-3-01 76.7	2005-6-01 83.2	2005-9-01 87.9	2006-3-01 97	2006-6-01 100.7	2006-9-01 104.9	2007-3-01 106.1	2007-6-01 105.3	2007-9-01 102.5	2008-3-01 93.8	2008-6-01 82.6	2008-9-01 71.8	2009-3-01 50.9	2009-6-01 38.4	2009-9-01 31.3	2010-3-01 26.4	2010-6-01 27.3	2010-9-01 24.8	2011-3-01 21.1	2011-6-01 16.2	2011-9-01 12.8	2012-3-01 7.2	2012-6-01 4.6	2012-9-01 4.7	2013-3-01 5.1	2013-6-01 8.6	2013-9-01 11.8	2014-3-01 21.8	2014-6-01 28.9	2014-9-01 35.5
03409,LaGrange/Burbank,2005-3-01 53.5	2005-6-01 57.4	2005-9-01 61.3	2006-3-01 69.8	2006-6-01 74.1	2006-9-01 77.6	2007-3-01 81.2	2007-6-01 81.9	2007-9-01 81.9	2008-3-01 75.2	2008-6-01 69	2008-9-01 63.4	2009-3-01 57.8	2009-6-01 49.7	2009-9-01 42.7	2010-3-01 36.5	2010-6-01 37	2010-9-01 34.7	2011-3-01 30.6	2011-6-01 25.4	2011-9-01 23.8	2012-3-01 16	2012-6-01 14.1	2012-9-01 13.1	2013-3-01 16.3	2013-6-01 20.9	2013-9-01 23.5	2014-3-01 27.1	2014-6-01 28.2	2014-9-01 29.8
03410,Orland Park/Lemont,2005-3-01 57.3	2005-6-01 61.9	2005-9-01 68.4	2006-3-01 75.1	2006-6-01 80.3	2006-9-01 82.1	2007-3-01 86.5	2007-6-01 86.9	2007-9-01 86.6	2008-3-01 83.4	2008-6-01 77.9	2008-9-01 74.4	2009-3-01 67.8	2009-6-01 65.3	2009-9-01 60.6	2010-3-01 57.2	2010-6-01 55.6	2010-9-01 53	2011-3-01 50.2	2011-6-01 46.3	2011-9-01 45.6	2012-3-01 40.5	2012-6-01 38.7	2012-9-01 36.1	2013-3-01 34.5	2013-6-01 36.2	2013-9-01 39.5	2014-3-01 42.6	2014-6-01 44.6	2014-9-01 45.9
03411,Oak Lawn/Blue Island,2005-3-01 52.6	2005-6-01 56.5	2005-9-01 62.1	2006-3-01 67.6	2006-6-01 71.2	2006-9-01 74.2	2007-3-01 78.2	2007-6-01 79.5	2007-9-01 78.1	2008-3-01 73.5	2008-6-01 69.3	2008-9-01 64.3	2009-3-01 50.5	2009-6-01 41.6	2009-9-01 33.6	2010-3-01 34.6	2010-6-01 35.9	2010-9-01 34.5	2011-3-01 25.7	2011-6-01 17.8	2011-9-01 13.8	2012-3-01 6.5	2012-6-01 5.7	2012-9-01 4	2013-3-01 5.1	2013-6-01 5.5	2013-9-01 8.9	2014-3-01 11.9	2014-6-01 14.6	2014-9-01 15.5
03412,Oak Forest/Country Club Hills,2005-3-01 47.9	2005-6-01 51.5	2005-9-01 57	2006-3-01 64.4	2006-6-01 67.3	2006-9-01 70	2007-3-01 74.9	2007-6-01 77.5	2007-9-01 76.2	2008-3-01 70.5	2008-6-01 63.3	2008-9-01 54.6	2009-3-01 43.2	2009-6-01 36.5	2009-9-01 32.1	2010-3-01 28.5	2010-6-01 27.2	2010-9-01 24.6	2011-3-01 17.1	2011-6-01 10.9	2011-9-01 9.9	2012-3-01 6.8	2012-6-01 6	2012-9-01 2.3	2013-3-01 1	2013-6-01 2.3	2013-9-01 4.9	2014-3-01 7.4	2014-6-01 7.9	2014-9-01 10.4
03413,Calumet City/Harvey,2005-3-01 38.3	2005-6-01 41.7	2005-9-01 45.7	2006-3-01 51.2	2006-6-01 55	2006-9-01 58.8	2007-3-01 62.5	2007-6-01 63	2007-9-01 60.5	2008-3-01 51.5	2008-6-01 44.1	2008-9-01 33.4	2009-3-01 15.6	2009-6-01 4.4	2009-9-01 -2.6	2010-3-01 -9	2010-6-01 -9.7	2010-9-01 -10.5	2011-3-01 -12.8	2011-6-01 -16	2011-9-01 -18.8	2012-3-01 -25.1	2012-6-01 -28.2	2012-9-01 -30.9	2013-3-01 -32.2	2013-6-01 -30.5	2013-9-01 -29.3	2014-3-01 -25.4	2014-6-01 -23.1	2014-9-01 -22.7
03414,Chicago Heights/Park Forest,2005-3-01 37.7	2005-6-01 40.3	2005-9-01 43.5	2006-3-01 49.2	2006-6-01 53	2006-9-01 55	2007-3-01 59	2007-6-01 60.6	2007-9-01 61.7	2008-3-01 56.3	2008-6-01 49.2	2008-9-01 41.2	2009-3-01 24.7	2009-6-01 17.9	2009-9-01 9.9	2010-3-01 4.2	2010-6-01 3.2	2010-9-01 2.3	2011-3-01 -1.7	2011-6-01 -6.4	2011-9-01 -10.2	2012-3-01 -15.2	2012-6-01 -17.4	2012-9-01 -17.4	2013-3-01 -16.3	2013-6-01 -13.9	2013-9-01 -14	2014-3-01 -12.1	2014-6-01 -12	2014-9-01 -10.9
03415,Arlington Heights/Wheeling,2005-3-01 55.3	2005-6-01 60.5	2005-9-01 64.2	2006-3-01 70.7	2006-6-01 72.9	2006-9-01 77.9	2007-3-01 79.7	2007-6-01 81	2007-9-01 79.6	2008-3-01 77.8	2008-6-01 73.6	2008-9-01 66.7	2009-3-01 57.7	2009-6-01 52.4	2009-9-01 48.7	2010-3-01 44	2010-6-01 40.4	2010-9-01 37.6	2011-3-01 33	2011-6-01 29	2011-9-01 25.3	2012-3-01 20.7	2012-6-01 20.9	2012-9-01 21.4	2013-3-01 21.7	2013-6-01 23.6	2013-9-01 28.7	2014-3-01 35.9	2014-6-01 39.2	2014-9-01 41.6
