cca,filings,auctions,COMMUNITY
Albany Park,8.146775654,11.168966623,ALBANY PARK
Archer Heights,10.693916350,7.777393709,ARCHER HEIGHTS
Armour Square,1.895110845,1.137066507,ARMOUR SQUARE
Ashburn,22.890346121,19.572904654,ASHBURN
Auburn Gresham,24.719959898,21.855063883,AUBURN GRESHAM
Austin,19.604905044,17.114552241,AUSTIN
Avalon Park,22.634451285,20.576773896,AVALON PARK
Avondale,8.829409505,10.300977756,AVONDALE
Belmont Cragin,15.094222989,12.368877171,BELMONT CRAGIN
Beverly,11.217624499,5.534028086,BEVERLY
Bridgeport,4.600682435,3.811994017,BRIDGEPORT
Brighton Park,10.500942075,9.512618115,BRIGHTON PARK
Burnside,20.745593511,20.745593511,BURNSIDE
Calumet Heights,21.411446995,14.852985753,CALUMET HEIGHTS
Chatham,21.539505323,13.740718913,CHATHAM
Chicago Lawn,22.518080457,20.231087910,CHICAGO LAWN
Clearing,9.861011873,11.482000126,CLEARING
Douglas,14.410922280,15.234403553,DOUGLAS
Dunning,8.090161701,7.445812539,DUNNING
East Garfield Park,23.613584781,16.126350582,EAST GARFIELD PARK
East Side,11.746837017,9.462729819,EAST SIDE
Edgewater,6.882216517,8.092276564,EDGEWATER
Edison Park,3.061895502,3.532956349,EDISON PARK
Englewood,18.278558853,24.513106058,ENGLEWOOD
Forest Glen,5.898083423,4.536987248,FOREST GLEN
Fuller Park,23.201856148,34.029389018,FULLER PARK
Gage Park,18.934734656,15.439091335,GAGE PARK
Garfield Ridge,8.326170291,6.881834628,GARFIELD RIDGE
Grand Boulevard,27.628531060,30.588730816,GRAND BOULEVARD
Greater Grand Crossing,21.883781337,17.859177872,GREATER GRAND CROSSING
Hegewisch,11.632875932,10.635772281,HEGEWISCH
Hermosa,13.043597626,14.229379229,HERMOSA
Humboldt Park,14.092251718,16.951549168,HUMBOLDT PARK
Hyde Park,8.749251971,6.015110730,HYDE PARK
Irving Park,7.771912212,8.607601697,IRVING PARK
Jefferson Park,6.845670158,5.476536127,JEFFERSON PARK
Kenwood,12.767045491,10.905184691,KENWOOD
Lake View,2.824741823,2.988494973,LAKE VIEW
Lincoln Park,2.218845526,2.218845526,LINCOLN PARK
Lincoln Square,4.842605018,5.205800394,LINCOLN SQUARE
Logan Square,6.249179987,7.210592293,LOGAN SQUARE
The Loop,4.413352175,5.180891684,LOOP
Lower West Side,8.213976011,6.720525827,LOWER WEST SIDE
McKinley Park,8.026887855,6.306840457,MCKINLEY PARK
Montclare,16.703126851,10.932955757,MONTCLARE
Morgan Park,15.963059990,10.686015365,MORGAN PARK
Mount Greenwood,7.649334183,7.060923861,MOUNT GREENWOOD
Near North Side,3.923717792,3.794008113,NEAR NORTH SIDE
Near South Side,8.192822870,6.474972913,NEAR SOUTH SIDE
Near West Side,7.173185401,5.539687735,NEAR WEST SIDE
New City,15.764744324,19.228210880,NEW CITY
North Center,2.223158161,2.667789793,NORTH CENTER
North Lawndale,20.146257756,17.293690286,NORTH LAWNDALE
North Park,6.990814588,5.303376584,NORTH PARK
Norwood Park,4.487423904,3.963891115,NORWOOD PARK
O'Hare,8.143412802,9.396245540,OHARE
Oakland,36.151204057,25.148663692,OAKLAND
Portage Park,8.355284624,7.342522852,PORTAGE PARK
Pullman,14.737617769,11.790094215,PULLMAN
Riverdale,2.273893751,3.183451251,RIVERDALE
Rogers Park,11.310384115,11.423487956,ROGERS PARK
Roseland,18.627868646,15.694346025,ROSELAND
South Chicago,18.019630840,20.978077695,SOUTH CHICAGO
South Deering,18.019884010,14.084507042,SOUTH DEERING
South Lawndale,10.814859847,8.876347233,SOUTH LAWNDALE
South Shore,24.899498279,24.309462775,SOUTH SHORE
Uptown,8.075244420,7.720288621,UPTOWN
Washington Park,22.017478106,29.566327742,WASHINGTON PARK
Washington Heights,22.920722708,19.357916070,WASHINGTON HEIGHTS
West Elsdon,15.297289375,12.979518258,WEST ELSDON
West Englewood,18.574035931,21.857843389,WEST ENGLEWOOD
West Garfield Park,24.697632085,21.810895867,WEST GARFIELD PARK
West Lawn,15.672727457,14.949370805,WEST LAWN
West Pullman,19.674968893,19.568617710,WEST PULLMAN
West Ridge,7.196653301,10.425058520,WEST RIDGE
West Town,5.399324070,5.181169562,WEST TOWN
Woodlawn,24.118856646,24.325000720,WOODLAWN
